,val_acc
0,0.1139
1,0.1138
2,0.1136
3,0.1134
4,0.1139
5,0.1142
6,0.1148
7,0.1136
8,0.1143
9,0.1143
10,0.1142
11,0.114
12,0.1147
13,0.1142
14,0.1141
15,0.1146
16,0.1145
17,0.114
18,0.1144
19,0.1141
20,0.1138
21,0.1145
22,0.1156
23,0.1144
24,0.1141
25,0.1137
26,0.114
27,0.1131
28,0.1134
29,0.1138
30,0.1131
31,0.113
32,0.114
33,0.1138
34,0.1145
35,0.1141
36,0.1143
37,0.1142
38,0.1143
39,0.1143
40,0.1156
41,0.115
42,0.115
43,0.1142
44,0.1139
45,0.1142
46,0.1137
47,0.1149
48,0.115
49,0.1146
50,0.1151
51,0.1147
52,0.116
53,0.1154
54,0.1165
55,0.1156
56,0.1165
57,0.1165
58,0.1175
59,0.1172
60,0.1172
61,0.1168
62,0.1169
63,0.1174
64,0.1174
65,0.117
66,0.1174
67,0.1177
68,0.1185
69,0.1196
70,0.1196
71,0.1194
72,0.1199
73,0.1199
74,0.1205
75,0.1208
76,0.1211
77,0.1213
78,0.1203
79,0.1203
80,0.1207
81,0.1208
82,0.1208
83,0.121
84,0.1214
85,0.1222
86,0.122
87,0.123
88,0.1221
89,0.1221
90,0.1215
91,0.1225
92,0.122
93,0.1218
94,0.1221
95,0.1223
96,0.1228
97,0.1216
98,0.1218
99,0.121
100,0.1217
101,0.1221
102,0.1225
103,0.122
104,0.1221
105,0.1215
106,0.1227
107,0.1221
108,0.1222
109,0.1223
110,0.1223
111,0.1236
112,0.1222
113,0.1219
114,0.1222
115,0.1226
116,0.1216
117,0.1225
118,0.1228
119,0.1235
120,0.1224
121,0.1215
122,0.1221
123,0.1224
124,0.1219
125,0.1227
126,0.1229
127,0.1222
128,0.1228
129,0.1215
130,0.1218
131,0.1221
132,0.1224
133,0.1209
134,0.1215
135,0.1205
136,0.1216
137,0.1218
138,0.1222
139,0.1225
140,0.1214
141,0.1217
142,0.1207
143,0.1216
144,0.1215
145,0.1207
146,0.121
147,0.1208
148,0.1208
149,0.1205
150,0.1208
151,0.1205
152,0.1195
153,0.1199
154,0.1199
155,0.1209
156,0.1216
157,0.1216
158,0.1202
159,0.1203
160,0.1213
161,0.1213
162,0.121
163,0.1213
164,0.1202
165,0.1215
166,0.1212
167,0.12
168,0.1196
169,0.1194
170,0.1191
171,0.1194
172,0.1195
173,0.1202
174,0.12
175,0.1201
176,0.1206
177,0.1216
178,0.1213
179,0.1221
180,0.1222
181,0.1215
182,0.1215
183,0.1213
184,0.1217
185,0.1214
186,0.122
