,val_acc
0,0.1142
1,0.1142
2,0.1142
3,0.114
4,0.1141
5,0.1138
6,0.1138
7,0.1139
8,0.1139
9,0.1142
10,0.1143
11,0.1143
12,0.1142
13,0.1141
14,0.1142
15,0.114
16,0.114
17,0.114
18,0.1141
19,0.1141
20,0.1141
21,0.114
22,0.1144
23,0.1144
24,0.1144
25,0.1143
26,0.1144
27,0.1147
28,0.1141
29,0.1141
30,0.1143
31,0.1141
32,0.1141
33,0.1143
34,0.1142
35,0.114
36,0.1144
37,0.1143
38,0.1146
39,0.1143
40,0.1145
41,0.1146
42,0.1147
43,0.1148
44,0.1147
45,0.1147
46,0.1148
47,0.1146
48,0.1144
49,0.1144
50,0.1144
51,0.1144
52,0.1146
53,0.1148
54,0.1151
55,0.1149
56,0.1153
57,0.1153
58,0.1155
59,0.1154
60,0.116
61,0.1164
62,0.1164
63,0.1164
64,0.1167
65,0.1169
66,0.1165
67,0.1166
68,0.1164
69,0.1161
70,0.1168
71,0.1164
72,0.1167
73,0.1167
74,0.1174
75,0.1182
76,0.1187
77,0.119
78,0.1194
79,0.1194
80,0.1198
81,0.1202
82,0.1203
83,0.1205
84,0.1204
85,0.121
86,0.1209
87,0.1215
88,0.1216
89,0.1215
90,0.1212
91,0.1211
92,0.1212
93,0.1212
94,0.1212
95,0.1215
96,0.1212
97,0.1218
98,0.1216
99,0.1217
100,0.1216
101,0.1217
102,0.1222
103,0.1221
104,0.122
105,0.1218
106,0.1215
107,0.1216
108,0.1214
109,0.1218
110,0.1218
111,0.1213
112,0.1212
113,0.1212
114,0.1214
115,0.1214
116,0.1217
117,0.1219
118,0.1218
119,0.1221
120,0.1221
121,0.1221
122,0.1221
123,0.1224
124,0.1223
125,0.1222
126,0.1223
127,0.1224
128,0.1223
129,0.1227
130,0.1225
131,0.1225
132,0.1225
133,0.1224
134,0.123
135,0.1227
136,0.1226
137,0.1226
138,0.1227
139,0.1228
140,0.1223
141,0.1221
142,0.1216
143,0.1215
144,0.1214
145,0.1216
146,0.1215
147,0.1217
148,0.1217
149,0.1214
150,0.1213
151,0.1211
152,0.1211
153,0.121
154,0.121
155,0.1208
156,0.1208
157,0.1209
158,0.1214
159,0.1213
160,0.1214
161,0.1216
162,0.1214
163,0.1211
164,0.1209
165,0.1206
166,0.1208
167,0.1207
168,0.1204
169,0.1203
170,0.1203
171,0.1201
172,0.12
173,0.1198
174,0.1197
175,0.1195
176,0.1193
177,0.1192
178,0.1191
179,0.1196
180,0.1195
181,0.1201
182,0.1203
183,0.1202
184,0.1203
185,0.1207
186,0.1207
187,0.121
188,0.1209
189,0.1211
190,0.1216
191,0.1214
192,0.1214
193,0.1213
194,0.1211
195,0.1209
196,0.1208
197,0.121
198,0.1214
199,0.1216
200,0.1218
201,0.123
202,0.1237
203,0.1237
204,0.1246
205,0.1249
206,0.1253
207,0.1253
208,0.1252
209,0.125
210,0.1251
211,0.1249
212,0.1257
213,0.126
214,0.1261
215,0.1265
216,0.1265
217,0.1263
218,0.1267
219,0.1268
220,0.1267
221,0.1269
222,0.1271
223,0.1272
224,0.1273
225,0.1272
226,0.1274
227,0.1276
228,0.1279
229,0.1281
230,0.1278
231,0.1286
232,0.1285
233,0.1279
234,0.1274
235,0.1269
236,0.1263
237,0.1262
238,0.1265
239,0.127
240,0.1272
241,0.1267
242,0.1266
243,0.1265
244,0.1258
245,0.1253
246,0.1254
247,0.1253
248,0.1255
249,0.1253
250,0.1256
251,0.1259
252,0.1258
253,0.1258
254,0.1255
255,0.1255
256,0.1252
257,0.1248
258,0.1252
259,0.1248
260,0.1249
261,0.1254
262,0.1248
263,0.1244
264,0.1242
265,0.124
266,0.1241
267,0.124
268,0.1238
269,0.1234
270,0.1232
271,0.1232
272,0.1234
273,0.1232
274,0.1233
275,0.1234
276,0.1235
277,0.1233
278,0.1232
279,0.1231
280,0.1232
281,0.1233
282,0.1235
283,0.1236
284,0.1233
285,0.1235
286,0.1231
287,0.1235
288,0.1236
289,0.1235
290,0.1234
291,0.1233
292,0.1234
293,0.1239
294,0.1241
295,0.1244
296,0.1243
297,0.1245
298,0.1249
299,0.1251
300,0.1251
301,0.1252
302,0.1251
303,0.1246
304,0.1242
305,0.1236
306,0.1232
307,0.1231
308,0.1234
309,0.1235
310,0.1231
311,0.123
312,0.1231
313,0.123
314,0.1227
315,0.1232
316,0.1238
